Project_ID,Display Width (Feet),Display Height (Feet),Total Area Sq Ft,Pixel Pitch,Cabinet Width (mm),Cabinet Height (mm),Module Width (mm),Module Height (mm),Aspect Ratio,Installation Type,Brightness (nits),Refresh Rate (Hz),Display Width (mm),Display Height (mm),Horizontal Pixels,Vertical Pixels,Total Pixels,Total Megapixels,Cabinets Horizontal,Cabinets Vertical,Total Cabinets,Modules per Cabinet,Total Modules,Estimated Data Rate (Gbps),Required Sending Cards,Required Receiving Cards,Redundancy Required,Control Mode,Controller Type,Controller Brand,Controller Model,Controller Series,Maximum Load Pixels,Maximum Width Pixels,Maximum Height Pixels,Maximum Ethernet Ports,Maximum Fiber Ports,Controller Units Required,Controller Load %,Recommended Usage,Reason for Selection,Selection Confidence %,Approx Controller Price (USD),Approx Controller Price (INR),Official Product URL,Official Datasheet URL,Manufacturer,Country,Availability,AI Explanation
PRJ-00198,8.4,3.15,26.46,P5,1280,960,320,160,8:3,Outdoor,6200,1920,2560,960,512,192,98304,0.098,2,1,2,24,48,0.163,1,2,No,Synchronous,Sync Sender/Processor,Huidu,HD-VP210,HD-VP Series,1300000,4096,2048,2,0,1,7.6,"Budget signage, small shops, rental basics",Smallest economical controller with >=10% headroom: 0.10MP load vs 1.30MP capacity (7.6% utilization); width 512px <= 4096px and height 192px <= 2048px limits satisfied.,98,260,21840,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 512 x 192 which equals 0.10 million pixels. Since the total pixel count fits within the Huidu HD-VP210 capacity of 1,300,000 px with a 10% safety margin (load 7.6%), the AI recommends Huidu HD-VP210 (2x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 2 receiving card(s) are required for the 2-cabinet outdoor P5 display."
PRJ-00199,10.08,7.56,76.2,P8,1024,768,256,128,4:3,Outdoor,6200,1920,3072,2304,384,288,110592,0.111,3,3,9,24,216,0.183,1,9,No,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-C15C,C Series,390000,4096,1024,1,0,1,28.4,Door-top and window signs,Smallest economical controller with >=10% headroom: 0.11MP load vs 0.39MP capacity (28.4% utilization); width 384px <= 4096px and height 288px <= 1024px limits satisfied.,99,55,4620,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 384 x 288 which equals 0.11 million pixels. Since the total pixel count fits within the Huidu HD-C15C capacity of 390,000 px with a 10% safety margin (load 28.4%), the AI recommends Huidu HD-C15C (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 9 receiving card(s) are required for the 9-cabinet outdoor P8 display."
PRJ-00200,21.0,15.75,330.75,P10,1280,960,320,160,4:3,Outdoor,7300,1920,6400,4800,640,480,307200,0.307,5,5,25,24,600,0.509,1,25,No,Synchronous,Sync Sender/Processor,Colorlight,X1,X Series,650000,4096,1080,1,0,1,47.3,"Door headers, small signage, tickers",Smallest economical controller with >=10% headroom: 0.31MP load vs 0.65MP capacity (47.3% utilization); width 640px <= 4096px and height 480px <= 1080px limits satisfied.,97,180,15120,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 640 x 480 which equals 0.31 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-D15 (300,000 px) but fits within the Colorlight X1 capacity of 650,000 px with a 10% safety margin (load 47.3%), the AI recommends Colorlight X1 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 25 receiving card(s) are required for the 25-cabinet outdoor P10 display."
PRJ-00201,6.3,3.15,19.84,P3,960,960,192,192,2:1,Outdoor,2700,3840,1920,960,640,320,204800,0.205,2,1,2,25,50,0.339,1,2,No,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-C16C,C Series,650000,4096,2048,1,0,1,31.5,Small-mid full-color signs,Smallest economical controller with >=10% headroom: 0.20MP load vs 0.65MP capacity (31.5% utilization); width 640px <= 4096px and height 320px <= 2048px limits satisfied.,99,75,6300,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 640 x 320 which equals 0.20 million pixels. Since the total pixel count fits within the Huidu HD-C16C capacity of 650,000 px with a 10% safety margin (load 31.5%), the AI recommends Huidu HD-C16C (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 2 receiving card(s) are required for the 2-cabinet outdoor P3 display."
PRJ-00202,22.68,30.24,685.84,P3,576,576,192,192,3:4,Outdoor,4400,3840,6912,9216,2304,3072,7077888,7.078,12,16,192,9,1728,11.721,1,192,Yes,Synchronous,Sync Sender/Processor,Huidu,HD-VP1620,HD-VP Series,10400000,16384,8192,16,2,1,68.1,Very large budget walls,Smallest economical controller with >=10% headroom: 7.08MP load vs 10.40MP capacity (68.1% utilization); width 2304px <= 16384px and height 3072px <= 8192px limits satisfied.,93,1950,163800,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 2304 x 3072 which equals 7.08 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-VP1220 (7,800,000 px) but fits within the Huidu HD-VP1620 capacity of 10,400,000 px with a 10% safety margin (load 68.1%), the AI recommends Huidu HD-VP1620 (16x 1G Ethernet, 2x fiber). 11 Ethernet port(s) and 192 receiving card(s) are required for the 192-cabinet outdoor P3 display."
PRJ-00203,8.4,8.4,70.56,P4,640,640,320,160,1:1,Indoor,5400,1920,2560,2560,640,640,409600,0.41,4,4,16,8,128,0.678,1,16,No,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-A601,A Series,500000,2048,1024,1,0,1,81.9,"Wedding halls, small event screens",Smallest economical controller with >=10% headroom: 0.41MP load vs 0.50MP capacity (81.9% utilization); width 640px <= 2048px and height 640px <= 1024px limits satisfied.,89,150,12600,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 640 x 640 which equals 0.41 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-C15C (390,000 px) but fits within the Huidu HD-A601 capacity of 500,000 px with a 10% safety margin (load 81.9%), the AI recommends Huidu HD-A601 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 16 receiving card(s) are required for the 16-cabinet indoor P4 display."
PRJ-00204,8.4,7.87,66.11,P1.53,640,480,320,160,16:15,Indoor,600,1920,2560,2400,1673,1569,2624937,2.625,4,5,20,6,120,4.347,1,20,No,Synchronous,Sync Sender/Processor,NovaStar,MCTRL R5,MCTRL Series,3900000,8192,4096,6,2,1,67.3,Rental & staging with creative rotations,Smallest economical controller with >=10% headroom: 2.62MP load vs 3.90MP capacity (67.3% utilization); width 1673px <= 8192px and height 1569px <= 4096px limits satisfied.,96,1450,121800,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 1673 x 1569 which equals 2.62 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-T902B (2,600,000 px) but fits within the NovaStar MCTRL R5 capacity of 3,900,000 px with a 10% safety margin (load 67.3%), the AI recommends NovaStar MCTRL R5 (6x 1G Ethernet, 2x fiber). 5 Ethernet port(s) and 20 receiving card(s) are required for the 20-cabinet indoor P1.53 display."
PRJ-00205,34.65,12.6,436.59,P5,960,960,320,160,11:4,Outdoor,6100,3840,10560,3840,2112,768,1622016,1.622,11,4,44,18,792,2.686,1,44,Yes,Asynchronous (PC-free),Async Media Player/Card,NovaStar,TB60,Taurus Series,2300000,4096,2048,4,0,1,70.5,DOOH needing live HDMI fallback,Smallest economical controller with >=10% headroom: 1.62MP load vs 2.30MP capacity (70.5% utilization); width 2112px <= 4096px and height 768px <= 2048px limits satisfied.,92,640,53760,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 2112 x 768 which equals 1.62 million pixels. Since the total pixel count exceeds the usable capacity of Colorlight S2 (1,310,000 px) but fits within the NovaStar TB60 capacity of 2,300,000 px with a 10% safety margin (load 70.5%), the AI recommends NovaStar TB60 (4x 1G Ethernet, 0x fiber). 3 Ethernet port(s) and 44 receiving card(s) are required for the 44-cabinet outdoor P5 display."
PRJ-00206,6.3,4.2,26.46,P5,640,640,320,160,3:2,Indoor,6400,1920,1920,1280,384,256,98304,0.098,3,2,6,8,48,0.163,1,6,No,Asynchronous (PC-free),Async Media Player/Card,Colorlight,A35,A Series,350000,4096,1024,1,0,1,28.1,Small storefront and pole screens,Smallest economical controller with >=10% headroom: 0.10MP load vs 0.35MP capacity (28.1% utilization); width 384px <= 4096px and height 256px <= 1024px limits satisfied.,96,150,12600,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 384 x 256 which equals 0.10 million pixels. Since the total pixel count fits within the Colorlight A35 capacity of 350,000 px with a 10% safety margin (load 28.1%), the AI recommends Colorlight A35 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 6 receiving card(s) are required for the 6-cabinet indoor P5 display."
PRJ-00207,6.3,3.15,19.84,P6,960,960,192,192,2:1,Outdoor,5500,1920,1920,960,320,160,51200,0.051,2,1,2,25,50,0.085,1,2,No,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-D15,D Series,300000,4096,512,1,0,1,17.1,"LED posters, shelf strips",Smallest economical controller with >=10% headroom: 0.05MP load vs 0.30MP capacity (17.1% utilization); width 320px <= 4096px and height 160px <= 512px limits satisfied.,96,45,3780,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 320 x 160 which equals 0.05 million pixels. Since the total pixel count fits within the Huidu HD-D15 capacity of 300,000 px with a 10% safety margin (load 17.1%), the AI recommends Huidu HD-D15 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 2 receiving card(s) are required for the 2-cabinet outdoor P6 display."
PRJ-00208,14.76,26.25,387.45,P2,500,1000,250,250,9:16,Indoor,1100,3840,4500,8000,2250,4000,9000000,9.0,9,8,72,8,576,14.904,1,72,Yes,Synchronous,Sync Sender/Processor,Huidu,HD-VP1620,HD-VP Series,10400000,16384,8192,16,2,1,86.5,Very large budget walls,Smallest economical controller with >=10% headroom: 9.00MP load vs 10.40MP capacity (86.5% utilization); width 2250px <= 16384px and height 4000px <= 8192px limits satisfied.,89,1950,163800,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 2250 x 4000 which equals 9.00 million pixels. Since the total pixel count exceeds the usable capacity of NovaStar CX40 Pro (9,200,000 px) but fits within the Huidu HD-VP1620 capacity of 10,400,000 px with a 10% safety margin (load 86.5%), the AI recommends Huidu HD-VP1620 (16x 1G Ethernet, 2x fiber). 14 Ethernet port(s) and 72 receiving card(s) are required for the 72-cabinet indoor P2 display."
PRJ-00209,6.3,4.2,26.46,P4,640,640,320,160,3:2,Indoor,1800,1920,1920,1280,480,320,153600,0.154,3,2,6,8,48,0.254,1,6,No,Synchronous,Sync Sender/Processor,Colorlight,X1,X Series,650000,4096,1080,1,0,1,23.6,"Door headers, small signage, tickers",Smallest economical controller with >=10% headroom: 0.15MP load vs 0.65MP capacity (23.6% utilization); width 480px <= 4096px and height 320px <= 1080px limits satisfied.,95,180,15120,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 480 x 320 which equals 0.15 million pixels. Since the total pixel count fits within the Colorlight X1 capacity of 650,000 px with a 10% safety margin (load 23.6%), the AI recommends Colorlight X1 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 6 receiving card(s) are required for the 6-cabinet indoor P4 display."
PRJ-00210,18.48,8.4,155.23,P4,512,512,256,128,11:5,Outdoor,4500,3840,5632,2560,1408,640,901120,0.901,11,5,55,8,440,1.492,1,55,No,Synchronous,Sync Sender/Processor,NovaStar,MCTRL660 Pro,MCTRL Series,2300000,4096,4096,6,2,1,39.2,Fixed installs needing fiber runs,Smallest economical controller with >=10% headroom: 0.90MP load vs 2.30MP capacity (39.2% utilization); width 1408px <= 4096px and height 640px <= 4096px limits satisfied.,97,780,65520,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 1408 x 640 which equals 0.90 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-A602 (950,000 px) but fits within the NovaStar MCTRL660 Pro capacity of 2,300,000 px with a 10% safety margin (load 39.2%), the AI recommends NovaStar MCTRL660 Pro (6x 1G Ethernet, 2x fiber). 2 Ethernet port(s) and 55 receiving card(s) are required for the 55-cabinet outdoor P4 display."
PRJ-00211,26.46,15.12,400.08,P6,1152,1152,192,192,7:4,Outdoor,6100,3840,8064,4608,1344,768,1032192,1.032,7,4,28,36,1008,1.709,1,28,Yes,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-A30+,A Series,2300000,4096,2048,4,0,1,44.9,Larger cloud advertising networks,Smallest economical controller with >=10% headroom: 1.03MP load vs 2.30MP capacity (44.9% utilization); width 1344px <= 4096px and height 768px <= 2048px limits satisfied.,95,320,26880,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 1344 x 768 which equals 1.03 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-A602 (950,000 px) but fits within the Huidu HD-A30+ capacity of 2,300,000 px with a 10% safety margin (load 44.9%), the AI recommends Huidu HD-A30+ (4x 1G Ethernet, 0x fiber). 2 Ethernet port(s) and 28 receiving card(s) are required for the 28-cabinet outdoor P6 display."
PRJ-00212,27.3,14.17,386.84,P3,640,480,320,160,1.93:1,Outdoor,1600,1920,8320,4320,2773,1440,3993120,3.993,13,9,117,6,702,6.613,1,117,No,Synchronous,Sync Sender/Processor,NovaStar,VX1000,VX Series,6500000,10240,8192,10,2,1,61.4,"Rental & staging, large corporate lobbies",Smallest economical controller with >=10% headroom: 3.99MP load vs 6.50MP capacity (61.4% utilization); width 2773px <= 10240px and height 1440px <= 8192px limits satisfied.,93,2450,205800,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 2773 x 1440 which equals 3.99 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-VP620 (3,900,000 px) but fits within the NovaStar VX1000 capacity of 6,500,000 px with a 10% safety margin (load 61.4%), the AI recommends NovaStar VX1000 (10x 1G Ethernet, 2x fiber). 7 Ethernet port(s) and 117 receiving card(s) are required for the 117-cabinet outdoor P3 display."
PRJ-00213,6.56,1.64,10.76,P2.5,500,500,250,250,4:1,Indoor,1400,1920,2000,500,800,200,160000,0.16,4,1,4,4,16,0.265,1,4,No,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-D15,D Series,300000,4096,512,1,0,1,53.3,"LED posters, shelf strips",Smallest economical controller with >=10% headroom: 0.16MP load vs 0.30MP capacity (53.3% utilization); width 800px <= 4096px and height 200px <= 512px limits satisfied.,93,45,3780,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 800 x 200 which equals 0.16 million pixels. Since the total pixel count fits within the Huidu HD-D15 capacity of 300,000 px with a 10% safety margin (load 53.3%), the AI recommends Huidu HD-D15 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 4 receiving card(s) are required for the 4-cabinet indoor P2.5 display."
PRJ-00214,5.91,8.86,52.36,P1.25,600,675,150,168.75,2:3,Indoor,700,3840,1800,2700,1440,2160,3110400,3.11,3,4,12,16.0,192.0,5.151,1,12,No,Synchronous,Sync Sender/Processor,Huidu,HD-VP1640,HD-VP Series,10400000,16384,8192,16,4,1,29.9,"Budget 4K walls, big events",Smallest economical controller with >=10% headroom: 3.11MP load vs 10.40MP capacity (29.9% utilization); width 1440px <= 16384px and height 2160px <= 8192px limits satisfied.,99,2600,218400,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 1440 x 2160 which equals 3.11 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-T902B (2,600,000 px) but fits within the Huidu HD-VP1640 capacity of 10,400,000 px with a 10% safety margin (load 29.9%), the AI recommends Huidu HD-VP1640 (16x 1G Ethernet, 4x fiber). 5 Ethernet port(s) and 12 receiving card(s) are required for the 12-cabinet indoor P1.25 display."
PRJ-00215,104.99,62.99,6613.32,P8,1280,960,320,160,5:3,Outdoor,8100,3840,32000,19200,4000,2400,9600000,9.6,25,20,500,24,12000,15.898,1,500,Yes,Synchronous,Sync Sender/Processor,NovaStar,VX2000 Pro,VX Series,13000000,16384,8192,20,4,1,73.8,"Large premium rental, studios",Smallest economical controller with >=10% headroom: 9.60MP load vs 13.00MP capacity (73.8% utilization); width 4000px <= 16384px and height 2400px <= 8192px limits satisfied.,96,5900,495600,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 4000 x 2400 which equals 9.60 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-VP1640 (10,400,000 px) but fits within the NovaStar VX2000 Pro capacity of 13,000,000 px with a 10% safety margin (load 73.8%), the AI recommends NovaStar VX2000 Pro (20x 1G Ethernet, 4x fiber). 15 Ethernet port(s) and 500 receiving card(s) are required for the 500-cabinet outdoor P8 display."
PRJ-00216,9.84,3.28,32.28,P2,500,1000,250,250,3:1,Indoor,1100,1920,3000,1000,1500,500,750000,0.75,6,1,6,8,48,1.242,1,6,No,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-D36,D Series,1300000,4096,2048,2,0,1,57.7,Mid-size full-color signs,Smallest economical controller with >=10% headroom: 0.75MP load vs 1.30MP capacity (57.7% utilization); width 1500px <= 4096px and height 500px <= 2048px limits satisfied.,93,95,7980,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 1500 x 500 which equals 0.75 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-D35 (650,000 px) but fits within the Huidu HD-D36 capacity of 1,300,000 px with a 10% safety margin (load 57.7%), the AI recommends Huidu HD-D36 (2x 1G Ethernet, 0x fiber). 2 Ethernet port(s) and 6 receiving card(s) are required for the 6-cabinet indoor P2 display."
PRJ-00217,40.94,75.59,3094.65,P6,960,960,192,192,13:24,Outdoor,6100,1920,12480,23040,2080,3840,7987200,7.987,13,24,312,25,7800,13.227,1,312,Yes,Synchronous,Sync Sender/Processor,Huidu,HD-VP1620,HD-VP Series,10400000,16384,8192,16,2,1,76.8,Very large budget walls,Smallest economical controller with >=10% headroom: 7.99MP load vs 10.40MP capacity (76.8% utilization); width 2080px <= 16384px and height 3840px <= 8192px limits satisfied.,88,1950,163800,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 2080 x 3840 which equals 7.99 million pixels. Since the total pixel count exceeds the usable capacity of NovaStar MCTRL4K (8,850,000 px) but fits within the Huidu HD-VP1620 capacity of 10,400,000 px with a 10% safety margin (load 76.8%), the AI recommends Huidu HD-VP1620 (16x 1G Ethernet, 2x fiber). 13 Ethernet port(s) and 312 receiving card(s) are required for the 312-cabinet outdoor P6 display."
PRJ-00218,25.2,44.09,1111.07,P5,1280,960,320,160,4:7,Indoor,6700,3840,7680,13440,1536,2688,4128768,4.129,6,14,84,24,2016,6.837,1,84,Yes,Synchronous,Sync Sender/Processor,Huidu,HD-VP820,HD-VP Series,5200000,8192,8192,8,0,1,79.4,"Large budget installs, outdoor billboards",Smallest economical controller with >=10% headroom: 4.13MP load vs 5.20MP capacity (79.4% utilization); width 1536px <= 8192px and height 2688px <= 8192px limits satisfied.,89,890,74760,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 1536 x 2688 which equals 4.13 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-VP620 (3,900,000 px) but fits within the Huidu HD-VP820 capacity of 5,200,000 px with a 10% safety margin (load 79.4%), the AI recommends Huidu HD-VP820 (8x 1G Ethernet, 0x fiber). 7 Ethernet port(s) and 84 receiving card(s) are required for the 84-cabinet indoor P5 display."
PRJ-00219,9.84,4.92,48.41,P2.5,500,500,250,250,2:1,Indoor,1100,3840,3000,1500,1200,600,720000,0.72,6,3,18,4,72,1.192,1,18,No,Synchronous,Sync Sender/Processor,NovaStar,MCTRL660 Pro,MCTRL Series,2300000,4096,4096,6,2,1,31.3,Fixed installs needing fiber runs,Smallest economical controller with >=10% headroom: 0.72MP load vs 2.30MP capacity (31.3% utilization); width 1200px <= 4096px and height 600px <= 4096px limits satisfied.,97,780,65520,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 1200 x 600 which equals 0.72 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-D35 (650,000 px) but fits within the NovaStar MCTRL660 Pro capacity of 2,300,000 px with a 10% safety margin (load 31.3%), the AI recommends NovaStar MCTRL660 Pro (6x 1G Ethernet, 2x fiber). 2 Ethernet port(s) and 18 receiving card(s) are required for the 18-cabinet indoor P2.5 display."
PRJ-00220,31.5,14.7,463.05,P4,640,640,320,160,15:7,Indoor,2600,1920,9600,4480,2400,1120,2688000,2.688,15,7,105,8,840,4.451,1,105,No,Synchronous,Sync Sender/Processor,NovaStar,MX30,MX Series,6500000,16384,16384,10,2,1,41.4,"Broadcast, premium fixed installs",Smallest economical controller with >=10% headroom: 2.69MP load vs 6.50MP capacity (41.4% utilization); width 2400px <= 16384px and height 1120px <= 16384px limits satisfied.,99,3900,327600,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 2400 x 1120 which equals 2.69 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-T902B (2,600,000 px) but fits within the NovaStar MX30 capacity of 6,500,000 px with a 10% safety margin (load 41.4%), the AI recommends NovaStar MX30 (10x 1G Ethernet, 2x fiber). 5 Ethernet port(s) and 105 receiving card(s) are required for the 105-cabinet indoor P4 display."
PRJ-00221,13.78,3.32,45.75,P0.9,600,337.5,300,168.75,4.15:1,Indoor,900,3840,4200,1012,4667,1125,5250375,5.25,7,3,21,4.0,84.0,8.695,1,21,Yes,Synchronous,Sync Sender/Processor,Huidu,HD-VP1620,HD-VP Series,10400000,16384,8192,16,2,1,50.5,Very large budget walls,Smallest economical controller with >=10% headroom: 5.25MP load vs 10.40MP capacity (50.5% utilization); width 4667px <= 16384px and height 1125px <= 8192px limits satisfied.,95,1950,163800,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 4667 x 1125 which equals 5.25 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-VP820 (5,200,000 px) but fits within the Huidu HD-VP1620 capacity of 10,400,000 px with a 10% safety margin (load 50.5%), the AI recommends Huidu HD-VP1620 (16x 1G Ethernet, 2x fiber). 9 Ethernet port(s) and 21 receiving card(s) are required for the 21-cabinet indoor P0.9 display."
PRJ-00222,9.45,47.24,446.42,P5,960,960,320,160,1:5,Indoor,4800,3840,2880,14400,576,2880,1658880,1.659,3,15,45,18,810,2.747,1,45,No,Asynchronous (PC-free),Async Media Player/Card,Colorlight,A500,A Series,5200000,8192,4096,8,0,1,31.9,Large DOOH billboards,Smallest economical controller with >=10% headroom: 1.66MP load vs 5.20MP capacity (31.9% utilization); width 576px <= 8192px and height 2880px <= 4096px limits satisfied.,97,980,82320,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 576 x 2880 which equals 1.66 million pixels. Since the total pixel count exceeds the usable capacity of Colorlight S2 (1,310,000 px) but fits within the Colorlight A500 capacity of 5,200,000 px with a 10% safety margin (load 31.9%), the AI recommends Colorlight A500 (8x 1G Ethernet, 0x fiber). 3 Ethernet port(s) and 45 receiving card(s) are required for the 45-cabinet indoor P5 display."
PRJ-00223,4.92,1.64,8.07,P2.5,500,500,250,250,3:1,Indoor,1200,3840,1500,500,600,200,120000,0.12,3,1,3,4,12,0.199,1,3,No,Synchronous,Sync Sender/Processor,NovaStar,VX1,VX Series,1300000,4096,2048,2,0,1,9.2,"Retail, meeting rooms, small stages",Smallest economical controller with >=10% headroom: 0.12MP load vs 1.30MP capacity (9.2% utilization); width 600px <= 4096px and height 200px <= 2048px limits satisfied.,99,520,43680,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 600 x 200 which equals 0.12 million pixels. Since the total pixel count fits within the NovaStar VX1 capacity of 1,300,000 px with a 10% safety margin (load 9.2%), the AI recommends NovaStar VX1 (2x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 3 receiving card(s) are required for the 3-cabinet indoor P2.5 display."
PRJ-00224,47.03,35.28,1659.22,P8,1024,768,256,128,4:3,Outdoor,7400,1920,14336,10752,1792,1344,2408448,2.408,14,14,196,24,4704,3.988,1,196,Yes,Synchronous,Sync Sender/Processor,NovaStar,MCTRL4K,MCTRL Series,8850000,7680,3840,16,4,1,27.2,"4K fixed installs, control rooms",Smallest economical controller with >=10% headroom: 2.41MP load vs 8.85MP capacity (27.2% utilization); width 1792px <= 7680px and height 1344px <= 3840px limits satisfied.,99,3200,268800,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 1792 x 1344 which equals 2.41 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-T902B (2,600,000 px) but fits within the NovaStar MCTRL4K capacity of 8,850,000 px with a 10% safety margin (load 27.2%), the AI recommends NovaStar MCTRL4K (16x 1G Ethernet, 4x fiber). 4 Ethernet port(s) and 196 receiving card(s) are required for the 196-cabinet outdoor P8 display."
PRJ-00225,145.51,47.24,6873.89,P6,576,576,192,192,3.08:1,Outdoor,5100,3840,44352,14400,7392,2400,17740800,17.741,77,25,1925,9,17325,29.379,1,1925,Yes,Synchronous,Fiber Distribution System,NovaStar,MX2000 Pro,MX Series,26000000,16384,16384,0,8,1,68.2,"Giant outdoor facades, 8K studios",Smallest economical controller with >=10% headroom: 17.74MP load vs 26.00MP capacity (68.2% utilization); width 7392px <= 16384px and height 2400px <= 16384px limits satisfied.,96,14500,1218000,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 7392 x 2400 which equals 17.74 million pixels. Since the total pixel count exceeds the usable capacity of Colorlight X20 (13,000,000 px) but fits within the NovaStar MX2000 Pro capacity of 26,000,000 px with a 10% safety margin (load 68.2%), the AI recommends NovaStar MX2000 Pro (0x 1G Ethernet, 8x fiber). 28 Ethernet port(s) and 1925 receiving card(s) are required for the 1925-cabinet outdoor P6 display."
PRJ-00226,1.64,3.28,5.38,P2,500,500,250,250,1:2,Indoor,1000,1920,500,1000,250,500,125000,0.125,1,2,2,4,8,0.207,1,2,No,Synchronous,Sync Sender/Processor,Huidu,HD-T901,T Series,1300000,4096,2048,2,0,1,9.6,"PC-based playout, budget sync systems",Smallest economical controller with >=10% headroom: 0.12MP load vs 1.30MP capacity (9.6% utilization); width 250px <= 4096px and height 500px <= 2048px limits satisfied.,96,110,9240,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 250 x 500 which equals 0.12 million pixels. Since the total pixel count fits within the Huidu HD-T901 capacity of 1,300,000 px with a 10% safety margin (load 9.6%), the AI recommends Huidu HD-T901 (2x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 2 receiving card(s) are required for the 2-cabinet indoor P2 display."
