Brand,Model,Series,Type,Max Pixels,Max Width,Max Height,Ethernet Ports,Fiber Ports,Input Interfaces,Output Interfaces,Scaling,HDR,Genlock,Supported Refresh Rate,Supported Color Depth,Recommended Display Size,Power Consumption (W),Datasheet URL,Product URL,MSRP (USD),Indian Price (INR approx),Country,Notes
Huidu,HD-A5L,A Series,Async Media Player/Card,1300000,4096,2048,2,0,"Async/Sync: HDMI in, cloud, Wi-Fi, 4G (opt)",2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Dual-mode signage up to ~1.3MP,10,https://www.huidu.cn/,https://www.huidu.cn/,230,19320,China,Sync/async auto-switching | Prices indicative; verify with authorized distributor.
Huidu,HD-A6L,A Series,Async Media Player/Card,1300000,4096,2048,2,0,"Async/Sync: HDMI in, multi-window, cloud, Wi-Fi",2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Dual-mode signage up to ~1.3MP,11,https://www.huidu.cn/,https://www.huidu.cn/,270,22680,China,Multi-window output + HDMI input | Prices indicative; verify with authorized distributor.
Huidu,HD-A7,A Series,Async Media Player/Card,2300000,4096,2048,4,0,"Async/Sync: HDMI in, cloud, dual-band Wi-Fi",4x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Dual-mode signage up to ~2.3MP,14,https://www.huidu.cn/,https://www.huidu.cn/,360,30240,China,Dual-mode; app wireless control | Prices indicative; verify with authorized distributor.
Huidu,HD-A8,A Series,Async Media Player/Card,8290000,8192,4096,10,0,"Async/Sync: HDMI/DP in, dual-band Wi-Fi, BT, 4G/5G (opt)",10x 1G Ethernet,Yes (basic),No,No,Up to 60Hz @4K,8/10bit,4K dual-mode signage: 8.29MP async / 10.4MP sync,30,https://www.huidu.cn/,https://www.huidu.cn/,780,65520,China,"4K Super Master; 32GB storage, voice control | Prices indicative; verify with authorized distributor."
Huidu,HD-H4K,A Series,Async Media Player/Card,8290000,8192,4096,10,0,"Async/Sync: HDMI 2.0 in, cloud, Wi-Fi",10x 1G Ethernet,Yes (basic),No,No,Up to 60Hz @4K,8/10bit,4K dual-mode signage up to ~8.29MP,28,https://www.huidu.cn/,https://www.huidu.cn/,720,60480,China,"4K player, A-series family | Prices indicative; verify with authorized distributor."
Huidu,HD-A601,A Series,Async Media Player/Card,500000,2048,1024,1,0,"Async/Sync dual mode: HDMI, cloud, Wi-Fi, U-disk",1x 1G Ethernet,No,No,No,Up to 60Hz,8bit,800x600-class dual-mode signage,8,https://www.huidu.cn/,https://www.huidu.cn/,150,12600,China,Auto sync/async switch (800x600) | Prices indicative; verify with authorized distributor.
Huidu,HD-A602,A Series,Async Media Player/Card,950000,2560,1440,2,0,"Async/Sync dual mode: HDMI, cloud, Wi-Fi, U-disk",2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,1280x720-class dual-mode signage,9,https://www.huidu.cn/,https://www.huidu.cn/,190,15960,China,Auto sync/async switch (1280x720) | Prices indicative; verify with authorized distributor.
Huidu,HD-A603,A Series,Async Media Player/Card,2000000,4096,2048,4,0,"Async/Sync dual mode: HDMI, cloud, Wi-Fi, U-disk",4x 1G Ethernet,No,No,No,Up to 60Hz,8bit,1920x1080-class dual-mode signage,12,https://www.huidu.cn/,https://www.huidu.cn/,280,23520,China,Auto sync/async switch (1920x1080) | Prices indicative; verify with authorized distributor.
Huidu,HD-A30,A Series,Async Media Player/Card,1300000,4096,2048,2,0,"Async: cloud, LAN, Wi-Fi, 4G (opt)",2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Large async signage up to ~1.3MP,10,https://www.huidu.cn/,https://www.huidu.cn/,240,20160,China,1080P decode; cluster cloud management | Prices indicative; verify with authorized distributor.
Huidu,HD-A30+,A Series,Async Media Player/Card,2300000,4096,2048,4,0,"Async: cloud, LAN, Wi-Fi, 4G (opt)",4x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Large async signage up to ~2.3MP,12,https://www.huidu.cn/,https://www.huidu.cn/,320,26880,China,A30 with higher load | Prices indicative; verify with authorized distributor.
Huidu,HD-C10,C Series,Async Media Player/Card,520000,4096,1024,1,0,"Async: LAN, Wi-Fi, 4G (opt), U-disk",1x HUB/Ethernet out,No,No,No,Up to 60Hz,8bit,Small async signs up to ~0.52MP,5,https://www.huidu.cn/,https://www.huidu.cn/,70,5880,China,Async control card | Prices indicative; verify with authorized distributor.
Huidu,HD-C15C,C Series,Async Media Player/Card,390000,4096,1024,1,0,"Async: LAN, Wi-Fi, 4G (opt), U-disk",HUB75 direct / Ethernet,No,No,No,Up to 60Hz,8bit,Small async signs up to ~0.39MP,4,https://www.huidu.cn/,https://www.huidu.cn/,55,4620,China,Async card with sensor support | Prices indicative; verify with authorized distributor.
Huidu,HD-C16C,C Series,Async Media Player/Card,650000,4096,2048,1,0,"Async: LAN, Wi-Fi, 4G (opt), U-disk",HUB75 direct / Ethernet,No,No,No,Up to 60Hz,8bit,Async signs up to ~0.65MP,5,https://www.huidu.cn/,https://www.huidu.cn/,75,6300,China,"Async card, temperature probe support | Prices indicative; verify with authorized distributor."
Huidu,HD-C30,C Series,Async Media Player/Card,1300000,4096,2048,2,0,"Async: LAN, Wi-Fi, 4G (opt), U-disk",2x Ethernet out,No,No,No,Up to 60Hz,8bit,Async signs up to ~1.3MP,7,https://www.huidu.cn/,https://www.huidu.cn/,120,10080,China,Higher-load async card | Prices indicative; verify with authorized distributor.
Huidu,HD-C35C,C Series,Async Media Player/Card,650000,4096,2048,1,0,"Async: LAN, Wi-Fi, 4G (opt), U-disk",HUB75 direct / Ethernet,No,No,No,Up to 60Hz,8bit,Async signs up to ~0.65MP,5,https://www.huidu.cn/,https://www.huidu.cn/,85,7140,China,Async card | Prices indicative; verify with authorized distributor.
Huidu,HD-C36C,C Series,Async Media Player/Card,1300000,4096,2048,2,0,"Async: LAN, Wi-Fi, 4G (opt), U-disk",2x Ethernet out,No,No,No,Up to 60Hz,8bit,Async signs up to ~1.3MP,7,https://www.huidu.cn/,https://www.huidu.cn/,130,10920,China,Async card | Prices indicative; verify with authorized distributor.
Huidu,HD-D15,D Series,Async Media Player/Card,300000,4096,512,1,0,"Async: LAN, Wi-Fi, U-disk",HUB75 direct,No,No,No,Up to 60Hz,8bit,Strip/poster signs up to ~0.3MP,4,https://www.huidu.cn/,https://www.huidu.cn/,45,3780,China,Compact async video card | Prices indicative; verify with authorized distributor.
Huidu,HD-D35,D Series,Async Media Player/Card,650000,4096,1024,1,0,"Async: LAN, Wi-Fi, 4G (opt), U-disk",HUB75 direct / Ethernet,No,No,No,Up to 60Hz,8bit,Async signs up to ~0.65MP,5,https://www.huidu.cn/,https://www.huidu.cn/,65,5460,China,Async video card | Prices indicative; verify with authorized distributor.
Huidu,HD-D36,D Series,Async Media Player/Card,1300000,4096,2048,2,0,"Async: LAN, Wi-Fi, 4G (opt), U-disk",2x Ethernet out,No,No,No,Up to 60Hz,8bit,Async signs up to ~1.3MP,6,https://www.huidu.cn/,https://www.huidu.cn/,95,7980,China,Async video card | Prices indicative; verify with authorized distributor.
